Data,Model,Type,train_size,seed,best_ll,ground_ll,THD,node_types,edges,SHD,Recall,Precision
G5,LG,Fixed,5000,37,-4266.080245736258,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,47,-4264.953109614813,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,57,-4264.315154658707,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,67,-4267.042899916414,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,77,-4262.817007962766,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,87,-4270.381019556171,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,97,-4266.481721819927,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,107,-4264.4877902045155,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,117,-4269.692388437443,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,127,-4263.852719355177,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,137,-4270.203331755397,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,147,-4270.944935987284,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,157,-4268.715403483706,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,167,-4263.276442511967,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,177,-4271.157274280341,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,187,-4265.230300843998,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,5000,197,-4269.2217046524065,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,7,-4270.701516829307,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,17,-4268.023980482705,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,27,-4266.066283349385,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,37,-4263.781228618866,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,47,-4265.087589215627,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,57,-4262.484125957792,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,67,-4269.848633087566,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
G5,LG,Fixed,10000,77,-4262.986713862338,-3462.5341171511036,2,"{'A': 'linear', 'B': 'linear', 'C': 'linear', 'D': 'linear', 'E': 'linear'}","[('A', 'C'), ('B', 'C'), ('B', 'D'), ('C', 'D'), ('D', 'E')]",,,
